Index,Title,Year,Synopsis,Image Filename,URL
87,Crime + Punishment,2018,"Amidst a landmark class action lawsuit over illegal policing quotas, Crime + Punishment chronicles the real lives and struggles of",crime_punishment_2018.jpg,https://www.rottentomatoes.com/m/crime_punishment_2018/
88,In Search of Greatness,2018,IN SEARCH OF GREATNESS is a groundbreaking feature documentary revealing the true nature and nurture of the greatest athletes of,in_search_of_greatness.jpg,https://www.rottentomatoes.com/m/in_search_of_greatness/
89,Up in the Air,2009,"Ryan Bingham, a corporate hatchet man who loves his life on the road, is forced to fight for his job",up_in_the_air_2009.jpg,https://www.rottentomatoes.com/m/up_in_the_air_2009/
90,How to Train Your Dragon: The Hidden World,2019,"Now chief and ruler of Berk alongside Astrid, Hiccup has created a gloriously chaotic dragon utopia. When the sudden appearance",how_to_train_your_dragon_the_hidden_world.jpg,https://www.rottentomatoes.com/m/how_to_train_your_dragon_the_hidden_world/
91,Bumblebee,2018,"On the run in the year 1987, Bumblebee finds refuge in a junkyard in a small Californian beach town. Charlie",bumblebee.jpg,https://www.rottentomatoes.com/m/bumblebee/
92,Support the Girls,2018,"Lisa Conroy is the last person you'd expect to find in a highway-side ""sports bar with curves,""-- but as general",support_the_girls.jpg,https://www.rottentomatoes.com/m/support_the_girls/
93,Hearts Beat Loud,2018,Widower and aging Brooklyn hipster Frank starts a band with his teenage daughter Sam just before she leaves home to,hearts_beat_loud.jpg,https://www.rottentomatoes.com/m/hearts_beat_loud/
94,Luce,2019,"It's been ten years since Amy and Peter Edgar (Naomi Watts and Tim Roth) adopted their son from war-torn Eritrea,",luce.jpg,https://www.rottentomatoes.com/m/luce/
95,The Biggest Little Farm,2019,"A testament to the immense complexity of nature, The Biggest Little Farm follows two dreamers and a dog on an",the_biggest_little_farm.jpg,https://www.rottentomatoes.com/m/the_biggest_little_farm/
96,Standing in the Shadows of Motown,2002,"In 1959, Berry Gordy gathered the best musicians from Detroit's thriving jazz and blues scene to begin cutting songs for",standing_in_the_shadows_of_motown.jpg,https://www.rottentomatoes.com/m/standing_in_the_shadows_of_motown/
97,Eating Animals,2018,How much do you know about the food that's on your plate? Based on the bestselling book by Jonathan Safran,eating_animals.jpg,https://www.rottentomatoes.com/m/eating_animals/
98,Lowlife,2018,"What happens when you throw together a fallen Mexican wrestler with serious rage issues, a just-out-of-prison ex-con with a regrettable",lowlife_2018.jpg,https://www.rottentomatoes.com/m/lowlife_2018/
99,Zero Days,2016,"A documentary thriller about the world of cyberwar. For the first time, the film tells the complete story of Stuxnet,",zero_days.jpg,https://www.rottentomatoes.com/m/zero_days/
100,The Hunchback of Notre Dame,1923,"This second film version of the Victor Hugo novel Notre Dame de Paris (the first was a Theda Bara vehicle,",1010214-hunchback_of_notre_dame.jpg,https://www.rottentomatoes.com/m/1010214-hunchback_of_notre_dame/
101,Zombieland,2009,A cowardly shut-in named Columbus (Jesse Eisenberg) is forced to join up with a seasoned zombie slayer named Tallahassee (Woody,zombieland.jpg,https://www.rottentomatoes.com/m/zombieland/
102,Spider-Man,2002,"After incorporating elements of comic book style and design into many of his films, director Sam Raimi helms this straight-ahead,",spiderman.jpg,https://www.rottentomatoes.com/m/spiderman/
103,Kinsey,2004,Alfred Kinsey was an entomologist who taught at Indiana University and had a keen interest in an area of human,kinsey.jpg,https://www.rottentomatoes.com/m/kinsey/
104,Waiting for Superman,2010,"Every morning, in big cities, suburbs and small towns across America, parents send their children off to school with the",waiting_for_superman.jpg,https://www.rottentomatoes.com/m/waiting_for_superman/
105,Misery,1990,"Adapted from a Stephen King novel, Rob Reiner's Misery cast James Caan as a writer at a career crossroads. The",misery.jpg,https://www.rottentomatoes.com/m/misery/
106,Starfish,2019,"When a mysterious Signal triggers an event that sparks the end of the world, Aubrey Parker is trapped in her",starfish_2019.jpg,https://www.rottentomatoes.com/m/starfish_2019/
107,Divide and Conquer: The Story of Roger Ailes,2018,DIVIDE AND CONQUER: THE STORY OF ROGER AILES sheds light on the current moment in American political life by following,divide_and_conquer_the_story_of_roger_ailes.jpg,https://www.rottentomatoes.com/m/divide_and_conquer_the_story_of_roger_ailes/
108,Akira,1988,"One of the best-known examples of contemporary Japanese animation, this cyberpunk adventure takes place in the post-apocalyptic city of Neo-Tokyo.",akira.jpg,https://www.rottentomatoes.com/m/akira/
109,"I, Tonya",2018,"Based on the unbelievable, but true events, I, TONYA is a darkly comedic tale of American figure skater, Tonya Harding,",i_tonya.jpg,https://www.rottentomatoes.com/m/i_tonya/
110,The Messenger,2009,An Iraq War veteran who just narrowly escaped death in combat struggles with his new post at the Casualty Notification,10011016-messenger.jpg,https://www.rottentomatoes.com/m/10011016-messenger/
111,Missing Link,2019,"This April, meet Mr. Link (Galifianakis): 8 feet tall, 630 lbs, and covered in fur, but don't let his appearance",missing_link_2019.jpg,https://www.rottentomatoes.com/m/missing_link_2019/
112,Venus in Fur,2014,"Based on the Tony Award-winning Broadway play by David Ives, which itself was based on Leopold von Sacher-Masoch's groundbreaking novella,",venus_in_fur.jpg,https://www.rottentomatoes.com/m/venus_in_fur/
113,Rare Exports: A Christmas Tale,2010,"It's the eve of Christmas in northern Finland, and an 'archeological' dig has just unearthed the real Santa Claus. But",rare_exports.jpg,https://www.rottentomatoes.com/m/rare_exports/
114,78/52: Hitchcock's Shower Scene,2017,"The screeching strings, the plunging knife, the slow zoom out from a lifeless eyeball: in 1960, Alfred Hitchcock's Psycho changed",7852_hitchcocks_shower_scene.jpg,https://www.rottentomatoes.com/m/7852_hitchcocks_shower_scene/
115,Plus One,2019,Single college friends Ben and Alice band together to survive a summer full of weddings in which everyone around them,plus_one_2019.jpg,https://www.rottentomatoes.com/m/plus_one_2019/
116,The Childhood of a Leader,2016,"A child's angelic face conceals a budding sociopath in the audacious, senses-shattering feature debut from actor Brady Corbet. A powerhouse",the_childhood_of_a_leader.jpg,https://www.rottentomatoes.com/m/the_childhood_of_a_leader/
117,Blazing Saddles,1974,"Vulgar, crude, and occasionally scandalous in its racial humor, this hilarious bad-taste spoof of Westerns, co-written by Richard Pryor, features",blazing_saddles.jpg,https://www.rottentomatoes.com/m/blazing_saddles/
118,Framing John DeLorean,2019,"Framing John DeLorean recounts the extraordinary life and legend of the controversial automaker, tracing his meteoric rise through the ranks",framing_john_delorean.jpg,https://www.rottentomatoes.com/m/framing_john_delorean/
119,Prospect,2018,"A teenage girl and her father travel to a remote alien moon, aiming to strike it rich. They've secured a",prospect_2018.jpg,https://www.rottentomatoes.com/m/prospect_2018/
120,First Girl I Loved,2016,"A high-school love triangle develops when Anne falls for a girl on the softball team, inadvertently dashing the hopes of",first_girl_i_loved.jpg,https://www.rottentomatoes.com/m/first_girl_i_loved/
121,Annihilation,2018,"Based on Jeff VanderMeer's best-selling Southern Reach Trilogy, Annihilation stars Natalie Portman, Jennifer Jason Leigh, Gina Rodriguez, Tessa Thompson, Tuva",annihilation.jpg,https://www.rottentomatoes.com/m/annihilation/
122,Let Me In,2010,"Twelve-year old Owen is viciously bullied by his classmates and neglected by his divorcing parents. Achingly lonely, Owen spends his",let_me_in.jpg,https://www.rottentomatoes.com/m/let_me_in/
123,Rango,2011,"Rango is a sheltered chameleon living as an ordinary family pet, while facing a major identity crisis. After all, how",rango.jpg,https://www.rottentomatoes.com/m/rango/
124,Lady Macbeth,2017,"Rural England, 1865. Katherine (Florence Pugh) is stifled by her loveless marriage to a bitter man twice her age, whose",lady_macbeth.jpg,https://www.rottentomatoes.com/m/lady_macbeth/
125,Arbitrage,2012,"When we first meet New York hedge-fund magnate Robert Miller (Richard Gere) on the eve of his 60th birthday, he",arbitrage.jpg,https://www.rottentomatoes.com/m/arbitrage/
126,Whitney,2018,Whitney Houston broke more music industry records than any other female singer in history. With over 200 million album sales,whitney_2018.jpg,https://www.rottentomatoes.com/m/whitney_2018/
127,Hounds of Love,2017,"In suburban Perth during the mid 1980s, people are unaware that women are disappearing at the hands of serial killer",hounds_of_love.jpg,https://www.rottentomatoes.com/m/hounds_of_love/
128,Coherence,2014,"On the night of an astronomical anomaly, eight friends at a dinner party experience a troubling chain of reality bending",coherence_2013.jpg,https://www.rottentomatoes.com/m/coherence_2013/
129,"Love, Gilda",2018,"LOVE, GILDA opens a unique window into the honest and whimsical world of beloved performer Gilda Radner, whose greatest role",love_gilda.jpg,https://www.rottentomatoes.com/m/love_gilda/
130,Meeting Gorbachev,2019,"Werner Herzog and André Singer's riveting documentary, filled with unforgettable archive materials and based on three long interviews, provides incredible",meeting_gorbachev.jpg,https://www.rottentomatoes.com/m/meeting_gorbachev/
131,Turtles Can Fly,2005,"Turtles Can Fly, written and directed by Bahman Ghobadi (Marooned in Iraq, A Time for Drunken Horses) takes place in",turtles_can_fly.jpg,https://www.rottentomatoes.com/m/turtles_can_fly/
132,True Grit,1969,"In fine Hollywood tradition, John Wayne had to play a ""one-eyed fat man"" before the Motion Picture Academy considered him",true_grit.jpg,https://www.rottentomatoes.com/m/true_grit/
133,Boom for Real: The Late Teenage Years of Jean-Michel Basquiat,2018,"A look at Jean-Michel Basquiat's life pre-fame, and how New York City, the times, the people and the movements around",boom_for_real_the_late_teenage_years_of_jean_michel_basquiat.jpg,https://www.rottentomatoes.com/m/boom_for_real_the_late_teenage_years_of_jean_michel_basquiat/
134,Thunderball,1965,"Thunderball finds James Bond matching wits with the sinister espionage organization S.P.E.C.T.R.E, (which stands for Special Executive for Counterintelligence, Terrorism,",thunderball.jpg,https://www.rottentomatoes.com/m/thunderball/
